category,test_code,uzl_test_name,menu
HEMATOLOGY,"71, 72, 84, 80, 86","Complete bloedceltelling, incl. WBC differentiatie (bloed)",standard
HEMATOLOGY,78,Reticulocyten telling (bloed),standard
HEMATOLOGY,4213,Haptoglobine (bloed),standard
HEMATOLOGY,4239,Hemoglobine vrij in plasma (bloed),standard
BLOEDSTOLLINGSTESTS,7301,Protrombinetijd (PT) (bloed),standard
BLOEDSTOLLINGSTESTS,7305,aPTT (bloed),standard
BLOEDSTOLLINGSTESTS,7306,Fibrinogeen (bloed),standard
BLOEDSTOLLINGSTESTS,7309,D-dimeren (bloed),standard
IMMUNOHEMATOLOGIE,8201,Bloedgroep ABO en RhD,standard
CHEMIE,4201,Natrium (bloed),standard
CHEMIE,4202,Kalium (bloed),standard
CHEMIE,4203,Chloride (bloed),standard
CHEMIE,4204,Bicarbonaat (bloed),standard
CHEMIE,4206,Ureum (bloed),standard
CHEMIE,4207,Creatinine (bloed),standard
CHEMIE,4215,Urinezuur (bloed),standard
CHEMIE,4211,Eiwit totaal (bloed),standard
CHEMIE,4212,Albumine (bloed),standard
CHEMIE,4208,Calcium totaal (bloed),standard
CHEMIE,4209,Fosfaat (bloed),standard
CHEMIE,4205,Osmolaliteit (bloed),standard
CHEMIE,292,Lactaat (bloed),standard
CHEMIE,218,Glucose (bloed),standard
CHEMIE,246,HbA1c (bloed),standard
CHEMIE,4216,Alk. fosfatasen (bloed),standard
CHEMIE,4217,AST (GOT) (bloed),standard
CHEMIE,4218,ALT (GPT) (bloed),standard
CHEMIE,4219,Gamma GT (bloed),standard
CHEMIE,4221,Bilirubine totaal en direct (bloed),standard
CHEMIE,132,Ammonia (bloed),standard
CHEMIE,4222,CK (creatinekinase) totaal (bloed),standard
CHEMIE,4236,Troponine T hs (bloed),standard
CHEMIE,4223,CK MB (bloed),standard
CHEMIE,4226,Lipasen (bloed),standard
CHEMIE,4224,LDH (bloed),standard
CHEMIE,4225,Amylasen (bloed),standard
CHEMIE,4235,CRP (bloed),standard
CHEMIE,4227,Cholesterol totaal (bloed),standard
CHEMIE,4228,Triglyceriden (bloed),standard
CHEMIE,4229,HDL+berek.LDL cholesterol (bloed),standard
CHEMIE,4230,LDL cholesterol (bloed),standard
CHEMIE,4690,Apolipoproteïnen A1+ B,standard
CHEMIE,4662,Lipoproteïne Lp(a) (bloed),standard
CHEMIE,4242,Kininase II (ACE) (bloed),standard
CHEMIE,4237,NT-proBNP (bloed),standard
CHEMIE,"4231, 4233",Ijzer en transferrine (incl. transferrine saturatie) (bloed),standard
CHEMIE,4234,Ferritine (bloed),standard
CHEMIE,4627,Vitamine B12 (bloed),standard
CHEMIE,4628,Folaat (bloed),standard
CHEMIE,5483,Eiwit elektroforese (bloed),standard
CHEMIE,5644,Serumeiwitelektroforese met immunofixatie indien M-piek,standard
CHEMIE,4210,Magnesium (bloed),standard
CHEMIE,263,Koper (bloed),standard
CHEMIE,4661,Ceruloplasmine (bloed),standard
CHEMIE,265,Zink (bloed),standard
CHEMIE,264,Lood (bloed),standard
CHEMIE,4291,Lithium (bloed),standard
CHEMIE,261,Aluminium (bloed),standard
CHEMIE,4393,Vitamine A (bloed),standard
CHEMIE,4394,Vitamine E (bloed),standard
CHEMIE,568,Vitamine B1 (thiamine) (volbloed),standard
CHEMIE,4285,Cholinesterasen (bloed),standard
CHEMIE BLOEDGASANALYSER,"4362, 4377, 4376, 4380, 4374, 4375, 4379, 4378","Bloedgas panel (arterieel bloed) : pH, pCO2, pO2, glucose, lactaat, Na, K, Cl, iCa",standard
CHEMIE BLOEDGASANALYSER,"4382, 4385, 4383, 4388, 4390, 4384, 4387, 4386","Bloedgas panel (veneus bloed) : pH, pCO2, pO2, glucose, lactaat, Na, K, Cl, iCa",standard
TUMORMERKERS,4706,Alfa-foetoproteïne (tumormerker) (bloed),standard
TUMORMERKERS,4702,CEA (bloed),standard
TUMORMERKERS,4629,Neuron specific enolase (bloed),standard
TUMORMERKERS,4710,PSA (follow-up therapie) (bloed),standard
TUMORMERKERS,4716,PSA (screening man 40-50j familiaal antecedent) (bloed),standard
TUMORMERKERS,4714,PSA (buiten RIZIV) (bloed),standard
TUMORMERKERS,4701,hCG totaal (tumormerker) (bloed),standard
TUMORMERKERS,4630,Squamous cell carcin. Ag (bloed),standard
TUMORMERKERS,4708,CA 19-9 (pancreas) (bloed),standard
TUMORMERKERS,4707,CA 125 (ovarium) (bloed),standard
TUMORMERKERS,4709,CA 15-3 (borst) (bloed),standard
TUMORMERKERS,947,Chromogranine A (bloed),standard
TUMORMERKERS,4546,hCG totaal in CSV,standard
URINESTAAL,"4402, 4431",Teststrook screening en microscopisch onderzoek (urinestaal),standard
URINESTAAL,4413,Myoglobine vs. hemoglobine differentiatie (urine),standard
URINESTAAL,4435,RBC morfologie (urinestaal),standard
URINESTAAL,4438,Eosinofilie (urinestaal),standard
URINESTAAL,5775,Eiwit elektroforese (urinestaal),standard
URINESTAAL,4031,Alfa 1-microglobuline (urinestaal),standard
URINESTAAL,4421,Reducerende suikers screening (urinestaal),standard
URINESTAAL,4029,VMA (urinestaal),standard
URINESTAAL,4030,HVA (urinestaal),standard
URINESTAAL,4001,Creatinine (urinestaal),standard
URINESTAAL,4010,Eiwit totaal (urinestaal),standard
URINESTAAL,4003,Natrium (urinestaal),standard
URINESTAAL,4004,Kalium (urinestaal),standard
URINESTAAL,4006,Calcium (urinestaal),standard
URINESTAAL,4007,Fosfaat (urinestaal),standard
URINESTAAL,4009,Urinezuur (urinestaal),standard
URINESTAAL,4008,Ureum (urinestaal),standard
URINESTAAL,4012,Osmolaliteit (urinestaal),standard
URINESTAAL,4020,Glucose (urinestaal),standard
URINESTAAL,4014,Amylasen (urinestaal),standard
URINESTAAL,4035,Amylasen/creat. klaring ratio,standard
URINESTAAL,4082,Albumine/Creatinine ratio,standard
URINEDEBIET,4042,Creatinine Klaring,standard
URINEDEBIET,4041,Creatinine (urinedebiet),standard
URINEDEBIET,4050,Eiwit totaal (urinedebiet),standard
URINEDEBIET,4043,Natrium (urinedebiet),standard
URINEDEBIET,4044,Kalium (urinedebiet),standard
URINEDEBIET,4045,Chloride (urinedebiet),standard
URINEDEBIET,4046,Calcium (urinedebiet),standard
URINEDEBIET,4047,Fosfaat (urinedebiet),standard
URINEDEBIET,4049,Urinezuur (urinedebiet),standard
URINEDEBIET,4048,Ureum (urinedebiet),standard
URINEDEBIET,4052,Osmolaliteit (urinedebiet),standard
URINEDEBIET,4060,Glucose + ketonen (urinedebiet),standard
URINEDEBIET,4051,Micro-albuminurie (urinedebiet) (24-uur collecte),standard
URINEDEBIET,4160,Micro-albuminurie (urinedebiet) (dag-collecte),standard
URINEDEBIET,4170,Micro-albuminurie (urinedebiet) (nacht-collecte),standard
URINEDEBIET,4065,IJzer,standard
URINEDEBIET,4064,Koper (urinedebiet),standard
URINEDEBIET,4053,Magnesium (urinedebiet),standard
URINEDEBIET,4066,Lood,standard
URINEDEBIET,4063,Zink (urinedebiet),standard
URINEDEBIET,4058,Oxalaat (urinedebiet),standard
URINEDEBIET,4069,VMA (urinedebiet),standard
URINEDEBIET,4070,HVA (urinedebiet),standard
URINEDEBIET,4068,5-OH-indolazijnzuur (urinedebiet),standard
OPSPOREN URINAIRE INFECTIES,1531,Cultuur (midstream urine),standard
OPSPOREN URINAIRE INFECTIES,1772,Cultuur (urine uit suprapubische punctie),standard
OPSPOREN URINAIRE INFECTIES,1774,Cultuur (urine uit verblijfsonde),standard
FAECES,710,Microscop. onderzoek (o.a. vet) (faeces),standard
FAECES,719,Occult bloed immunologisch (faeces),standard
FAECES,5232,Reducerende suikers,standard
CEREBROSPINAAL VOCHT,4461,Eiwit totaal (CSV),standard
CEREBROSPINAAL VOCHT,4463,Glucose (CSV),standard
CEREBROSPINAAL VOCHT,4465,Lactaat (CSV),standard
CEREBROSPINAAL VOCHT,4475,WBC telling (CSV),standard
CEREBROSPINAAL VOCHT,4476,WBC differentiatie (CSV),standard
VARIA,5245,Xylosebelasting,standard
VARIA,5212,Galzuren totaal (bloed),standard
VARIA,7500,Chylomicronen (pleuravocht),standard
VARIA,575,Serotonine (bloed),standard
VARIA,4740,Iso-amylase,standard
VARIA,5140,Iso-LDH,standard
VARIA,5250,Zweettest,standard
VARIA,747,Niersteenanalyse,standard
VARIA,5213,Disaccharidasen in dundarmbiopt,standard
VARIA,259,IJzer (leverbiopt),standard
VARIA,266,Koper (leverbiopt),standard
VARIA,277,Aluminium in dial.vocht,standard
VARIA,278,Magnesium in dial.vocht,standard
VARIA,7501,Xanthochromie in CSV,standard
VARIA,5975,Calprotectine (faeces),standard
SCHILDKLIER,4601,TSH (bloed),standard
SCHILDKLIER,4612,Vrij T4 (bloed),standard
SCHILDKLIER,4618,Thyroglobuline (Tg) (bloed),standard
SCHILDKLIER,4620,ANTI-Thyroglobuline (Tg) (bloed),standard
SCHILDKLIER,4639,Thyroglobuline punctievocht,standard
SCHILDKLIER,973,Calcitonine (bloed),standard
SCHILDKLIER,4127,Jodium totaal (urinestaal),standard
SCHILDKLIER,4067,Jodium totaal (urinedebiet),standard
SCHILDKLIER,4614,Vrij T3 (bloed),standard
SCHILDKLIER,4616,reverse T3 (bloed),standard
SCHILDKLIER,4606,T4 totaal + T-uptake (bloed),standard
SCHILDKLIER,4610,T4 totaal + TBG (bloed),standard
SCHILDKLIER,4635,T3 + T-uptake (bloed),standard
SCHILDKLIER,4636,T3 + TBG (bloed),standard
ZWANGERSCHAP,4720,hCG totaal (zwangere) (bloed),standard
ZWANGERSCHAP,4721,Alfa-foetoproteïne (bij zwangere)(bloed),standard
ZWANGERSCHAP,4784,Alfa-foetoproteïne (amniosvocht),standard
GONADEN,4723,FSH (bloed),standard
GONADEN,4722,LH (bloed),standard
GONADEN,4727,Prolactine (bloed),standard
GONADEN,5132,Prolactine 2x/uur (bloed),standard
GONADEN,5110,Prolactine 4x/uur (bloed),standard
GONADEN,932,Testosteron (bloed),standard
GONADEN,935,SHBG (bloed),standard
GONADEN,4725,Oestradiol (bloed),standard
GONADEN,4726,Progesteron (bloed),standard
GONADEN,4634,Oestron (LC-MS/MS) (bloed),standard
GONADEN,976,Dihydrotestosteron,standard
GONADEN,927,Anti-Mullerian hormoon (AMH) (bloed),standard
GONADEN,924,Inhibine B,standard
GONADEN,7452,Oestradiol Niet-reproductief (LC-MS/MS),standard
GONADEN,7454,Testosteron (LC-MS/MS) (bloed),standard
GLUCOSE-METABOLISME,902,Insuline nuchter (bloed),standard
GLUCOSE-METABOLISME,903,Insuline niet nuchter (bloed),standard
GLUCOSE-METABOLISME,917,C-peptide nuchter (bloed),standard
GLUCOSE-METABOLISME,918,C-peptide niet nuchter (bloed),standard
GLUCOSE-METABOLISME,938,Pro-insuline (bloed),standard
MANNELIJKE FERTILITEIT SPERMA,8640,Tellen en mobiliteit (sperma),standard
MANNELIJKE FERTILITEIT SPERMA,8651,Morfologisch onderzoek (sperma),standard
MANNELIJKE FERTILITEIT SPERMA,8970,Capacitatietest (sperma),standard
MANNELIJKE FERTILITEIT SPERMA,8664,"Directe Mar (IgG, IgA) (sperma)",standard
MANNELIJKE FERTILITEIT SPERMA,8648,Fructose doseren (sperma),standard
DYNAMISCHE TESTS,226,Glucose (t/m 120 min) OGTT na 75 g Glc (bloed),standard
DYNAMISCHE TESTS,311,Insuline (t/m 120 min) OGTT na 75 g Glc (bloed),standard
DYNAMISCHE TESTS,231,Glucose (t/m 180 min) OGTT na 75 g Glc (bloed),standard
DYNAMISCHE TESTS,327,Insuline (t/m 180 min) OGTT na 75 g Glc (bloed),standard
DYNAMISCHE TESTS,253,Glucose (na 60min) Challenge met 50g Glc (bloed),standard
DYNAMISCHE TESTS,255,Glucose (t/m 120 min) OGTT na 75 g Glc bij zwangere (bloed),standard
DYNAMISCHE TESTS,846,Cortisol na ACTH (Korte ACTH stimulatie) (bloed),standard
DYNAMISCHE TESTS,850,Transcortine 0 min/8u (Korte ACTH) (bloed),standard
DYNAMISCHE TESTS,841,Cortisol 8u (Bijniersuppressie na 1 mg dexa) (bloed),standard
DYNAMISCHE TESTS,842,Transcortine 8u (Bijniersuppressie na 1mg dexa) (bloed),standard
DYNAMISCHE TESTS,925,C-peptide voor & na glucagon (bloed),standard
GROEIHORMOON,295,Groeihormoon om ... u (bloed),standard
GROEIHORMOON,632,Groeihormoon nuchter (bloed),standard
GROEIHORMOON,633,Groeihormoon niet nuchter (bloed),standard
GROEIHORMOON,4619,IGF-1 (bloed),standard
BIJNIER,812,Cortisol om ... u (bloed),standard
BIJNIER,816,Transcortine (bloed),standard
BIJNIER,691,ACTH om ... u (bloed),standard
BIJNIER,4698,Aldosteron (bloed),standard
BIJNIER,4699,Renine activiteit (bloed),standard
BIJNIER,820,Cortisol ochtend 6-10u (bloed),standard
BIJNIER,937,DHEAS (bloed),standard
BIJNIER,936,Androsteendion (bloed),standard
BIJNIER,934,17-hydroxyprogesteron (bloed),standard
BIJNIER,4075,Vrij cortisol (urinedebiet),standard
BIJNIER,4076,Aldosteron (urinedebiet),standard
BIJNIER,4081,"Metanefrine, normetanefrine en 3-methoxytyramine (urinedebiet)",standard
BIJNIER,4071,"Adrenaline, noradrenaline, dopamine (urinedebiet)",standard
BIJNIER,830,Cortisol (speeksel),standard
BOT- EN CALCIUMMETABOLISME,971,25-hydroxy vit. D (bloed),standard
BOT- EN CALCIUMMETABOLISME,939,Parathormoon (PTH) 1-84 (bloed),standard
BOT- EN CALCIUMMETABOLISME,942,beta-CTx (collageen degradatie) (bloed),standard
BOT- EN CALCIUMMETABOLISME,960,N-terminaal procollageen type 1 propeptide (P1NP) (bloed),standard
BOT- EN CALCIUMMETABOLISME,972,"1,25-dihydroxy vit. D (bloed)",standard
BOT- EN CALCIUMMETABOLISME,7459,Fibroblast growth factor 23 (FGF-23),standard
GASTRO-INTESTINALE HORMONEN,9101,Gastrine (bloed),standard
GASTRO-INTESTINALE HORMONEN,9111,Glucagon (bloed),standard
GASTRO-INTESTINALE HORMONEN,9116,VIP,standard
VOCHTEN,5283,WBC telling (synoviaal vocht),standard
VOCHTEN,5271,Glucose (synoviaal vocht),standard
VOCHTEN,5282,WBC differentiatie (synoviaal vocht),standard
VOCHTEN,5309,WBC telling (pleuravocht),standard
VOCHTEN,5302,Glucose (pleuravocht),standard
VOCHTEN,5301,Eiwit totaal (pleuravocht),standard
VOCHTEN,5303,LDH (pleuravocht),standard
VOCHTEN,5304,Amylasen (pleuravocht),standard
VOCHTEN,5308,WBC differentiatie (pleuravocht),standard
VOCHTEN,5329,WBC telling (peritoniaal vocht),standard
VOCHTEN,5321,Eiwit totaal (peritoneaal vocht),standard
VOCHTEN,5326,Albumine (peritoneaal vocht),standard
VOCHTEN,5323,LDH (peritoneaal vocht),standard
VOCHTEN,5324,Amylasen (peritoneaal vocht),standard
VOCHTEN,5328,WBC differentiatie (peritoniaal vocht),standard
GENEESMIDDELENDOSERING,4735,Digoxine (bloed),standard
GENEESMIDDELENDOSERING,5012,Amiodarone,standard
