test_code,test
"71, 72, 84, 80, 86",71
"71, 72, 84, 80, 86",72
"71, 72, 84, 80, 86",84
"71, 72, 84, 80, 86",80
"71, 72, 84, 80, 86",86
"4231, 4233",4231
"4231, 4233",4233
"4362, 4377, 4376, 4380, 4374, 4375, 4379, 4378",4362
"4362, 4377, 4376, 4380, 4374, 4375, 4379, 4378",4377
"4362, 4377, 4376, 4380, 4374, 4375, 4379, 4378",4376
"4362, 4377, 4376, 4380, 4374, 4375, 4379, 4378",4380
"4362, 4377, 4376, 4380, 4374, 4375, 4379, 4378",4374
"4362, 4377, 4376, 4380, 4374, 4375, 4379, 4378",4375
"4362, 4377, 4376, 4380, 4374, 4375, 4379, 4378",4379
"4362, 4377, 4376, 4380, 4374, 4375, 4379, 4378",4378
"4382, 4385, 4383, 4388, 4390, 4384, 4387, 4386",4382
"4382, 4385, 4383, 4388, 4390, 4384, 4387, 4386",4385
"4382, 4385, 4383, 4388, 4390, 4384, 4387, 4386",4383
"4382, 4385, 4383, 4388, 4390, 4384, 4387, 4386",4388
"4382, 4385, 4383, 4388, 4390, 4384, 4387, 4386",4390
"4382, 4385, 4383, 4388, 4390, 4384, 4387, 4386",4384
"4382, 4385, 4383, 4388, 4390, 4384, 4387, 4386",4387
"4382, 4385, 4383, 4388, 4390, 4384, 4387, 4386",4386
"4402, 4431",4402
"4402, 4431",4431
